ID,Area,User Story,Expected Behavior,Code Evidence,Test Command,Initial Status,Initial Error,Fix,Retest Status,Retest Evidence
US-001,App boot,"As a user, I can open the editor app","Editor reaches ready state; loading veil disappears; no console errors","src/main.js; index.html",npm run test:browser,PENDING,,,PENDING,
US-002,Navigation,"As an author, I can enter Play from the toolbar","Play opens the current world in play mode and hides editor-only controls","src/main.js; index.html",npm run test:editor-ux1,PENDING,,,PENDING,
US-003,Navigation,"As a player, I can return to the editor","Editor button is visible in play mode and returns to authoring","src/main.js; index.html",npm run test:editor-ux1,PENDING,,,PENDING,
US-004,Player,"As a player, I can move and sprint","WASD/arrows move relative to camera and Shift increases speed while remaining terrain-grounded","src/player/PlayerController.js; src/core/input.js",npm run test:first-playable-proof,PENDING,,,PENDING,
US-005,Player,"As a player, I can jump","Space initiates a grounded jump and the player returns safely to terrain/support","src/player/PlayerController.js",npm run test:first-playable-hidden-proof,PENDING,,,PENDING,
US-006,Camera,"As a player, I can look and switch camera mode","Pointer lock controls look; Escape releases it; V switches first/third person; crosshair reflects first-person lock","src/player/PlayerCameraController.js; src/core/input.js",npm run test:first-playable-proof,PENDING,,,PENDING,
US-007,Debug,"As a developer, I can inspect runtime statistics","Backquote toggles debug HUD and B toggles the performance budget HUD","src/main.js; src/debug",npm run test:budget,PENDING,,,PENDING,
US-008,World documents,"As an author, I can create and validate a world","World documents normalize supported settings and reject invalid data without corrupting runtime state","src/world/WorldDocument.js; src/world/WorldValidation.js",npm run test:world,PENDING,,,PENDING,
US-009,World persistence,"As an author, I can save and load my world","Objects and supported world settings round-trip through localStorage","src/world/WorldSerializer.js; src/editor/WorldEditor.js",npm run test:editor-ux1,PENDING,,,PENDING,
US-010,World files,"As an author, I can import and export world files","A valid world document exports and imports with validation and identity preserved","src/world/WorldExport.js; src/editor/WorldEditor.js",npm run test:world,PENDING,,,PENDING,
US-011,Playable export,"As an author, I can export a playable build","World pack and playable ZIP include a validated manifest report and runnable world content","src/export/PlayableBuildExport.js; src/export/BuildValidation.js",npm run test:asset-pipeline,PENDING,,,PENDING,
US-012,Hierarchy,"As an author, I can select objects from the hierarchy","Hierarchy lists world objects and selection stays synchronized with viewport and inspector","src/editor/HierarchyPanel.js; src/editor/SelectionGroup.js",npm run test:editor-ux1,PENDING,,,PENDING,
US-013,Object placement,"As an author, I can place primitive assets","Choosing an asset then clicking terrain creates a grounded selectable object","src/editor/WorldEditor.js; src/assets/AssetLibrary.js",npm run test:editor-ux1,PENDING,,,PENDING,
US-014,Object editing,"As an author, I can move rotate and scale selections","Gizmo and numeric inspector apply finite transforms and commit world/collider updates","src/editor/TransformInspector.js; src/editor/WorldEditor.js",npm run test:editor-ux1,PENDING,,,PENDING,
US-015,Multi-select,"As an author, I can edit multiple objects together","Toggle selection creates a group pivot and transforms every selected object consistently","src/editor/SelectionGroup.js; src/editor/WorldEditor.js",npm run test:editor-ux1,PENDING,,,PENDING,
US-016,Object editing,"As an author, I can duplicate and delete objects","Duplicate creates new identities; delete removes selected objects and their runtime effects","src/editor/WorldEditor.js; src/editor/commands/WorldObjectCommands.js",npm run test:undo,PENDING,,,PENDING,
US-017,Undo redo,"As an author, I can undo and redo changes","Ctrl+Z and Ctrl+Shift+Z restore placement deletion and transforms without stale references","src/editor/CommandStack.js; src/editor/WorldEditor.js",npm run test:undo,PENDING,,,PENDING,
US-018,Snapping,"As an author, I can enable grid snapping","Translation rotation and scale snap to configured finite increments when enabled","src/editor/SnapSettings.js; src/editor/WorldEditor.js",npm run test:editor-ux1-unit,PENDING,,,PENDING,
US-019,Layers,"As an author, I can hide and lock layers","Visibility toggles affect the intended systems and locked layers cannot be selected; view state is not serialized","src/editor/LayersPanel.js; src/editor/LayerModel.js",npm run test:editor-ux1,PENDING,,,PENDING,
US-020,Autosave,"As an author, my edits autosave","Dirty changes save after debounce; reload resets pending stale saves; status reports success or error","src/editor/EditorAutosave.js; src/editor/WorldEditor.js",npm run test:editor-ux1-unit,PENDING,,,PENDING,
US-021,Colliders,"As an author, I can configure collider proxies","Collider types update support/blocking behavior and optional debug wireframes without depending on visual mesh complexity","src/editor/ColliderInspector.js; src/physics",npm run test:world,PENDING,,,PENDING,
US-022,Asset import,"As an author, I can import GLB assets","Valid GLB/GLTF imports enter the asset library with budget and animation metadata; invalid/oversized input is reported","src/assets/AssetImporter.js; src/assets/AssetBudget.js",npm run test:asset-pipeline-proof,PENDING,,,PENDING,
US-023,Image assets,"As an author, I can import an image or draw a relief","Image/drawing input generates a preview; Generate/Invert/Clear work; Add Asset makes it placeable","src/editor/ReliefAssetTool.js",npm run test:asset-pipeline-proof,PENDING,,,PENDING,
US-024,Prefabs,"As an author, I can save and place prefabs","Selection becomes a reusable prefab; placing expands normal objects with stable prefab references","src/editor/PrefabPanel.js; src/prefabs",npm run test:prefabgen,PENDING,,,PENDING,
US-025,Prefab library,"As an author, I can browse built-in and saved prefabs","Library shows metadata and supports placement/instancing without losing object editability","src/prefabs/PrefabLibrary.js; src/editor/PrefabPanel.js",npm run test:genlib,PENDING,,,PENDING,
