Feature ID,Area/Module,Feature Name,User Role,User Story,Expected Behavior,Source Evidence,UI/API Entry Point,Test Evidence,Status,Priority,Code Confidence,Discovery Method,Dependencies,Notes,Last Reviewed
GW-001,App shell / boot (src/main.js),Editor boots to ready state,Author,"As an author, I can open the app and have the editor load to a ready state so I can start building.","Loader veil (#loader) shows the building message; boot() resolves the world by priority (mod -> worldpack -> sample -> saved -> default), grounds the player, and instantiates WorldEditor; markWorldReady() removes #loader and sets window.__WORLD_READY__=true and body[data-world-ready]=true with no console errors; on failure boot().catch sets the loader subtitle to a failure message.",src/main.js:1101 (boot); src/main.js:1278 (markWorldReady); src/main.js:1409 (error handler); index.html:204 (#loader),"index.html -> /src/main.js (default editor mode, no query params)",npm run test:browser,Confirmed,Critical,High,route+code,WorldRuntimeLoader; AssetLibrary; WorldSerializer; WorldEditor,Supersedes candidate US-001. Boot failure surfaces only as a loader subtitle (no dismissable error UI) -> candidate UX defect for Phase E.,2026-06-22
GW-002,"Navigation / mode switch (src/main.js, index.html)",Enter Play from toolbar,Author,"As an author, I can click Play to launch the current world in play mode so I can test it as a player.","Clicking #enter-play flushes any pending autosave, then navigates to /?play=1; play mode adds body.play-mode (CSS hides the editor controls hint), shows the arrival controls hint and the #exit-play button, and wires runtime systems instead of the editor.",index.html:190 (#enter-play); src/main.js:1238 (click -> flushAutosave -> /?play=1); src/main.js:70-73 (playMode flag + body.play-mode),index.html #enter-play button -> /?play=1,npm run test:editor-ux1,Confirmed,High,High,component+code,WorldEditor.flushAutosave; URL ?play handling in main.js,Supersedes candidate US-002. test:editor-ux1 covers 9 candidate stories; per-story coverage adequacy to be audited in Phase T.,2026-06-22
GW-003,"Navigation / mode switch (src/main.js, index.html)",Return to editor (Exit Play),Player/Author,"As a player in play mode, I can click the Editor button to return to the authoring surface.",#exit-play is hidden by default and shown only when body has play-mode (CSS); clicking it navigates to / (editor mode). The editor toolbar (#toolbar) is hidden in runtime/play mode.,"index.html:179-180,195 (#exit-play CSS + button); src/main.js:1192 (exit-play click -> location='/'); src/main.js:1187 (toolbar hidden in runtime)",#exit-play button (play mode only) -> /,npm run test:editor-ux1,Confirmed,High,High,component+code,play-mode CSS; main.js runtime branch,Supersedes candidate US-003.,2026-06-22
GW-004,Player (src/player/PlayerController.js),Move and sprint,Player,"As a player, I can move with WASD/arrows relative to the camera and sprint with Shift while staying grounded on the terrain.","getMoveAxis maps WASD/arrows to forward/strafe; motion is built from the camera yaw so W always goes where the camera faces; walkSpeed 8.5, sprintSpeed 15 while ShiftLeft/Right is held; horizontal velocity is damped (accel 13); horizontal collisions are resolved by ColliderSystem; the player stays grounded via terrain/collider support height each frame.",src/player/PlayerController.js:35-64 (move/sprint); src/core/input.js:53 (getMoveAxis); src/player/PlayerController.js:99 (_groundHeight),Keyboard WASD/Arrows + Shift in runtime (?play / ?runtime),npm run test:first-playable-proof,Confirmed,Critical,High,code,Input; PlayerCameraController.yaw; ColliderSystem; terrainSampling.getHeight,Supersedes candidate US-004. first-playable-proof drives movement via __PLAYER_MOVE_DO__ (input-equivalent hold/step).,2026-06-22
GW-005,Player (src/player/PlayerController.js),Jump,Player,"As a player, I can press Space to jump from the ground and land back safely on the terrain.",When grounded and Space wasPressed -> velocityY = jumpSpeed (8.5) and grounded=false; gravity 26 integrates velocityY each frame; when position.y <= groundY the player snaps to groundY with velocityY=0 and grounded=true. Space is preventDefault'd so the page never scrolls.,src/player/PlayerController.js:68-81 (jump+gravity+land); src/core/input.js:92-95 (Space preventDefault),Space key in runtime (?play / ?runtime),npm run test:first-playable-hidden-proof,Confirmed,High,High,code,Input.wasPressed; terrain/collider ground height,Supersedes candidate US-005.,2026-06-22
GW-006,Camera (src/player/PlayerCameraController.js),Look and switch camera mode,Player,"As a player, I can look with the mouse (pointer-locked), release with Esc, and toggle first/third person with V.","Clicking the canvas requests pointer lock; while locked, mouse deltas drive yaw and clamped pitch (minPitch -1.15, maxPitch 0.85); Esc releases the lock (browser); KeyV toggleMode flips first/third and shows/hides the player mesh; a centre crosshair shows only in first-person while the pointer is locked.","src/player/PlayerCameraController.js:42-62 (look + toggle); src/core/input.js:71-73,117-124 (pointer lock); src/main.js:1382-1383 (crosshair)",Mouse + Esc + KeyV in runtime (?play / ?runtime),npm run test:first-playable-proof,Confirmed,High,High,code,Input pointer lock; Player.mesh,Supersedes candidate US-006.,2026-06-22
GW-007,"Debug (src/debug/DebugPanel.js, BudgetHUD.js)",Runtime debug + performance-budget HUD,Developer/Author,"As a developer/author, I can toggle a debug HUD (backquote) and a performance-budget HUD (B) to inspect runtime stats.","DebugPanel renders fps/camera/draw-calls/vegetation/player stats and toggles via Backquote (debug.toggle); BudgetHUD shows green/yellow/red budget status, samples already-computed counters at ~4 Hz into a reused scratch, and toggles via KeyB; both default visible while authoring and hidden in runtime; BudgetHUD is DEV-only (stripped from production builds).",src/debug/DebugPanel.js:34 (toggle); src/debug/BudgetHUD.js:26 (constructor/throttle); src/main.js:1316-1317 (Backquote/KeyB toggles); src/main.js:1033 (DEV-only construction),Backquote / KeyB keys in runtime; HUDs visible by default in editor,npm run test:budget,Confirmed,Medium,High,code,PerformanceBudget; renderer.info; system .stats,Supersedes candidate US-007 (candidate US-077 performance HUD shares BudgetHUD). BudgetHUD absent in production builds.,2026-06-22
GW-008,"World data / schema (src/world/WorldDocument.js, WorldValidation.js)",Create and validate world document,Author,"As an author, I can create a new world and have any loaded document validated/normalized so invalid data cannot corrupt runtime state.","createWorldDocument builds a v2 document (alpine terrain default; grass/trees/bushes/water/atmosphere/wildlife/lighting configs; empty objects/objectives/enemies/encounters). validateWorldDocument migrates v1/legacy saves, applies safe defaults on an unknown version, allow-lists primitives/object-types/camera-mode/collider-types, caps placed objects at MAX_PLACED_OBJECTS (20000), and returns {document, warnings}; it never throws on bad fields (replaces with defaults and pushes a warning).",src/world/WorldDocument.js:17 (createWorldDocument); src/world/WorldValidation.js:37 (validateWorldDocument); src/world/WorldValidation.js:27 (MAX_PLACED_OBJECTS),src/world API: new-world default + validation on every load/save/import,npm run test:world,Confirmed,Critical,High,code+test,sanitizeLighting/Water/Atmosphere/Wildlife/Ambient/Particles/Prefab/Animation/Interaction; terrain profiles,Supersedes candidate US-008. Validation is permissive (console warnings only); silent normalization is a candidate UX gap for Phase E.,2026-06-22
GW-009,World persistence (src/world/WorldSerializer.js),Save and load world (localStorage),Author,"As an author, I can save my world and have it reload automatically so my work persists across sessions.","save() validates the document (stamping metadata.updatedAt) and writes JSON to localStorage key grass-world-builder-save; load() reads that key, returns null when absent, else JSON.parse + validateWorldDocument -> {document, warnings}; boot() uses load() as the 4th-priority world source.",src/world/WorldSerializer.js:9 (save); src/world/WorldSerializer.js:21 (load); src/world/WorldDocument.js:15 (WORLD_STORAGE_KEY); src/main.js:1139 (boot uses load),src/world API: editor autosave + boot load,npm run test:editor-ux1,Confirmed,Critical,High,code,validateWorldDocument; localStorage,Supersedes candidate US-009. load() calls JSON.parse(raw) with no try/catch -> a corrupted localStorage value throws unhandled at boot; candidate Data/State defect (High) for Phase E.,2026-06-22
GW-010,World files (src/world/WorldExport.js),Import and export world files,Author,"As an author, I can export my world to a .world.json file and import a world file back, with validation and identity preserved.","exportWorldDocument validates the document and downloads <slug(name)>.world.json as a pretty-printed JSON blob via an object URL; importWorldDocumentFile reads a File via FileReader, JSON.parses it, runs validateWorldDocument, resolves {document, warnings}, and rejects on parse/read error.",src/world/WorldExport.js:3 (exportWorldDocument); src/world/WorldExport.js:17 (importWorldDocumentFile),WorldEditor toolbar import/export (src/editor/WorldEditor.js) -> WorldExport API,npm run test:world,Confirmed,High,Med,code,validateWorldDocument; Blob/FileReader/URL,Supersedes candidate US-010. WorldExport API confirmed first-hand; the WorldEditor button wiring (src/editor/WorldEditor.js import/export handlers) is NOT yet line-verified -> Code Confidence Med. Editor-level import error surfaces as a label only (candidate UX gap).,2026-06-22
